State,City,IBGE Code,Reason,Form,Name,code,Sampling Date,Sampling Loc,Zone,2.4 D + 2.4.5 T  VMP: 30.0 µg/L,Alaclor  VMP: 20.0 µg/L,Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido  VMP: 10.0 µg/L,Aldrin + Dieldrin  VMP: 0.03 µg/L,Atrazina  VMP: 2.0 µg/L,Carbendazim + benomil  VMP: 120.0 µg/L,Carbofurano  VMP: 7.0 µg/L,Clordano  VMP: 0.2 µg/L,Clorpirifós + clorpirifósoxon  VMP: 30.0 µg/L,DDT + DDD + DDE  VMP: 1.0 µg/L,Diuron  VMP: 90.0 µg/L,Endossulfan (α. β e sais)  VMP: 20.0 µg/L,Endrin  VMP: 0.6 µg/L,Glifosato + AMPA  VMP: 500.0 µg/L,Lindano (gama HCH)  VMP: 2.0 µg/L,Mancozebe  VMP: 180.0 µg/L,Metamidofós  VMP: 12.0 µg/L,Metolacloro  VMP: 10.0 µg/L,Molinato  VMP: 6.0 µg/L,Parationa Metílica  VMP: 9.0 µg/L,Pendimentalina  VMP: 20.0 µg/L,Permetrina  VMP: 20.0 µg/L,Profenofós  VMP: 60.0 µg/L,Simazina  VMP: 2.0 µg/L,Tebuconazol  VMP: 180.0 µg/L,Terbufós  VMP: 1.2 µg/L,Trifluralina  VMP: 20.0 µg/L
AC,RODRIGUES ALVES,120042,Rotina,SAA,SISTEMA DE ABASTECIMENTO DE AGUA DE RODRIGUES ALVES,S120042000001,14/09/2017,POÇO ARTESIANO - Poço tubular profundo,,,,,,5.68,,,,,,,,,,,,,,,,,,,,,,
AC,MANCIO LIMA,120033,Rotina,SAA,SISTEMA DE ABASTECIMENTO DE AGUA DE MANCIO LIMA,S120033000001,14/09/2017,Saída de tratamento/pós-desinfecção,,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,
AC,CRUZEIRO DO SUL,120020,Rotina,SAA,SAA DO DEPASA,S120020000013,15/09/2017,Saída de tratamento/pós-desinfecção,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,
AC,PLACIDO DE CASTRO,120038,Rotina,SAA,SISTEMA DE ABASTECIMENTO DE ÁGUA DE PLÁCIDO DE CASTRO,S120038000002,13/11/2017,Saída de tratamento/pós-desinfecção,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,,
AC,PLACIDO DE CASTRO,120038,Rotina,SAA,SISTEMA DE ABASTECIMENTO DE ÁGUA DE VILA CAMPINAS,S120038000003,13/11/2017,Saída de tratamento/pós-desinfecção,,,,,,4.55,,,,,,,,,,,,,,,,,,,,,,
AC,CRUZEIRO DO SUL,120020,Rotina,SAA,SAA CANELA FINA,S120020000015,15/09/2017,POÇO ARTESIANO - SAA CANELA FINA,,,,,,1.86,,,,,,,,,,,,,,,,,,,,,,
AL,ESTRELA DE ALAGOAS,270255,Rotina,SAA,SAA DE ESTRELA DE ALAGOAS,S270255000001,01/12/2014,BARRAGEM-RIACHO DA LIMEIRA,,0,0,,0,0,,,,,0,,0,0,,0,,0,0,,0,0,0,,,,0,0
AL,MARIBONDO,270480,Rotina,SAA,SAA DE ANADIA,S270020000001,01/12/2014,BARRAGEM-SANTA CRUZ,,0,0,,0,0,,,,,0,,0,0,,0,,0,0,,0,0,0,,,,0,0
AL,PALMEIRA DOS INDIOS,270630,Rotina,SAA,SAA DE PALMEIRA DOS INDIOS,S270630000001,01/12/2014,BARRAGEM-CARANGUEJA,,0,0,,0,0,,,,,0,,0,0,,0,,0,0,,0,0,0,,,,0,0
AL,FLEXEIRAS,270280,Rotina,SAI,POCO DA DA NAZARE,I270280000076,07/04/2015,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,FLEXEIRAS,270280,Rotina,SAI,POCO DO ELPIDIO,I270280000077,07/04/2015,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,FLEXEIRAS,270280,Rotina,SAI,POCO ESCOLA BENEDITO DE LIRA,I270280000078,07/04/2015,Torneira após a reservação,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,FLEXEIRAS,270280,Rotina,SAA,SAA DE FLEIXEIRAS CIDADE SEDE CASAL,S270280000001,07/04/2015,Torneira antes da reservação,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,COITE DO NOIA,270200,Rotina,SAA,SAA DE COITE DO NOIA POVOADO OLHO DAGUA DE BAIXO,S270200000001,30/11/2015,BARRAGEM-NASCENTE OLHO DAGUA,,0,0,,0,0,,,,,0,,0,0,,0,,0,0,,0,0,,0,,,0,
AL,ARAPIRACA,270030,Rotina,SAA,SAA DE ARAPIRACA BANANEIRA,S270030000001,30/11/2015,Saída de tratamento/pós-desinfecção,,0,0,,0,0,,,,,0,,0,0,,0,,0,0,,0,0,,0,,,0,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO SOLARIS I,S270430000056,17/08/2016,Reservatório de distribuição,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO SOLARIS I,S270430000056,17/08/2016,Cavalete/Hidrômetro,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO SOLARIS I,S270430000056,17/08/2016,Torneira antes da reservação,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
